Название,Жанр,Режиссер,Страны,Год,IMDb
"Лесная сказка (фильм, 1913)","драма, мелодрама",Евгений Бауэр,Российская империя,1913,
Лепрекон (серия фильмов),"ужасы, слэшер, комедия, чёрный юмор, фэнтези",,США,,
Ленинградец (фильм),"драма, исторический",Константин Худяков,Россия,2006,
Лекарь поневоле (телеспектакль),Комедия,Вениамин Смехов,Россия,2002,
"Лейтенант (фильм, 2015)",драма,Евгений Эпштейн,Россия,2015,
Легенда. Людмила Гурченко,бенефис,Катя Царик,Украина,2011,
Легенда тюрьмы Павиак,"драма, военный",Сухбат Хамидов,СССР,1970,
"Ладога (фильм, 1943)","военный фильм, исторический фильм","Павел Паллей, Валерий Соловцовым, Глеб Трофимов",СССР,1943,
Курсистка Ася,драма,"Кай Ганзен, Андре Мэтр",Российская империя,1913,
Куплю друга,драма,Александр Итыгилов,Украина,2008,
Купленный муж (фильм),драма,Яков Протазанов,Российская империя,1913,
Кто умрёт сегодня,"военный фильм, драма, притча, короткометражка",Виктор Гресь,СССР,1967,
"Крысолов (фильм, 2023)",фантастика,Алексей Мизгирёв,Россия,,
Крылья ночи (фильм),"драма, мелодрама",Александр Уральский,Российская империя,1916,
Кроличья лапа,"драма, мелодрама",Нана Джорджадзе,"Россия, Франция",2021,
Кровь и мороженое,"комедия, ужасы, боевик, фантастика",Эдгар Райт,"Великобритания, Франция, США, Япония",,
"Кровавая слава (фильм, 1913)",драма,"Евгений Бауэр, В. (или А.А.) Брянский",Российская империя,1913,
Крик 7,слэшер,,,,
Крик (франшиза),"слэшер, триллер","Уэс Крэйвен, Мэттью Беттинелли, Тайлер Джиллет",США,,
Крёстный батька,Документальное кино,,Россия,,
Крест на земле и луна в небе,биографический фильм,Валерий Басов,Белоруссия,1992,
Краткие встречи на долгой войне,"мелодрама, военный","Абдусалом Рахимов, Станислав Чаплин",СССР,1970,
Кот в сапогах (телеспектакль),телеспектакль,"Светлана Джимбинова, А. Покровский",СССР,1979,
Король бубён,игровое кино,Борис Эпштейн,СССР,1958,
Королева мёртвых,мистическая драма,Михаил Бонч-Томашевский,Российская империя,1916,
"Корабль (фильм, 1988)","драма, мелодрама",,,,
"Корабли в Лиссе (фильм, 1965)",драма,"Давид Карасик, Лев Додин",СССР,1965,
"Конь, ружьё и вольный ветер",истерн,Владимир Иовицэ,СССР,1975,
Концлагеря. Дорога в ад,Документальный фильм,Фёдор Стуков,Россия,2009,
Константин 2,супергеройский фильм,Фрэнсис Лоуренс,США,,
Кони не виноваты (фильм),"драма, экранизация",Станислав Комар,СССР,1956,
Конец старой Берёзовки,киноповесть,Виктор Эйсымонт,СССР,1960,
"Комета (фильм, 1929)",драма,Валерий Инкижинов,СССР,1929,
"Командир (фильм, 2024)",экшен,"Александр Гурьянов, Тимур Хван",Россия,2024,
Колокол Саята,"драма, социальная драма, историко-революционный",Юлдаш Агзамов,СССР,1966,
"Колдунья (фильм, 1916)",драма,Евгений Бауэр,Российская империя,1916,
Код Орбели,"документальный фильм, фильм-биография","Ашот Джазоян, Виктория Грудинская","Армения, Россия",2012,
Когда цветут розы,драма,К. Я. Ярматов,СССР,1959,
Кобра капелла,драма,Владимир Касьянов,Российская империя,1917,
"Князь Серебряный (фильм, 1911)",,,Российская империя,,
Книга мечей,"боевик, драма, фэнтези",Питер Аллен,США,2007,
"Клятва (фильм, 1937)",драма,Александр Усольцев-Гарф,СССР,1937,
Ключ для заводного апельсина (фильм),документальный,"Григорий Гришин, Ольга Яковлева",Россия,2014,
"Клара Милич (фильм, 1915)",драма,Эдвард Пухальский,,1915,
Киноправда (фильм),кинохроника,Дзига Вертов,СССР,1922,
"Ким, Ван и Кьеу",художественный,,Французский Индокитай,,
Киевские мелодии,музыкальный фильм,Игорь Самборский,СССР,1967,
КВН: свидетельство о рождении,документальный,Инна Ткаченко,Россия,2017,
Катюша (фильм),документальный фильм,Виктор Лисакович,СССР,1965,
Катина служба,драма,Борис Токарев,СССР,1977,
Касьянов день (фильм),документальный фильм,,Россия,2016,
"Капкан (фильм, 2021)",,Галина Уразова,Россия,2021,
"Каныбек (фильм, 1978)",драма,Геннадий Базаров,СССР,1978,
Каменный плен,Драма,Усенжан Ибрагимов,СССР,1990,
Как Пушкин с Гоголем породнились,документальный,"Артюхов, Константин Валентинович",Россия,2009,
Как они лгут,"драма, мелодрама",Вячеслав Висковский,Россия,1917,
Казнить нельзя помиловать (фильм),Художественный фильм,Михаил Апарцев,Россия,2007,
Казнён в 41-м,документальный,Виталий Четвериков,СССР,1967,
Иуда — коронованный предатель Болгарии,"детективная, драма",Эдвард Пухальский,Российская империя,1915,
"Исчезновение (фильм, 2024)","исторический фильм, драма",Кирилл Серебренников,,,
Исторический день,документальный фильм,Владимир Ешурин,"Северный Вьетнам, СССР",1955,
Исповедь. Хроника отчуждения,документальный,Георгий Гаврилов,СССР,1988,
Ислам-ходжа (фильм),"Художественно публицистический, фильм, Драма",Джахонгир Ахмедов,Узбекистан,,
Искатель женских сердец,драма,,Венгрия,1922,
Ирина Кирсанова,"драма, мелодрама",Евгений Бауэр,Российская империя,1915,
Ираклий Андроников. Слово Андроникова,документальный фильм,"Михаил Шапиро, Аркадий Кольцатый, Алина Казьмина и др.",СССР,,
Интонация (фильм),Документальное кино,Александр Сокуров,Россия,2009,
Институт бабушек,драма,Марина Ишимбаева,СССР,1984,
Инсомния (короткометражный фильм),"Драма, Хоррор",Тимур Искаков,Кыргызстан,2016,
"Индийская гробница (фильм, 1921)",приключенческий фильм,Джоэ Май,Германия,1921,
Индийские йоги — кто они?,документальный,Альмар Серебреников,СССР,1970,
Имам Шамиль. Осада Ахульго,"исторический фильм, военный",Магомед Абдулкадыров,Россия,2019,
Изучая Лессинга,Трагикомедия,Александр Карпиловский,Россия,2005,
"Измена (фильм, 1933)",драма,Юрий Винокуров,СССР,1933,
Изломы любви (фильм),драма,Александр Уральский,Российская империя,1916,
"Изгои (фильм, 2009)",Документальное кино,Александр Ступников,Белоруссия,2009,
"Извините, что живу...","документальный фильм, драма",Алексей Погребной,Россия,2002,
И мы любим жизнь,драма,Абдулла Исса,Россия,2013,
И капли росы на рассвете,,Петерис Крыловс,СССР,,
Зумрад,мелодрама,"Александр Давидсон, Абдусалом Рахимов",СССР,1961,
Золотой полоз,"драма, фэнтези, семейный фильм",Владимир Макеранец,Россия,2007,
Золотой дом (фильм),,Владимир Басов,СССР,1959,
Золотое сердце (фильм),музыкальный фильм,,СССР,1989,
"Золото (фильм, 2012)",драма,Андрей Мармонтов,Россия,2012,
Золотая пуговица,сатира,Александр Рогожкин,СССР,1986,
Зов предков: Согдиана,исторический,Гияс Шермухамедов,"Узбекистан, Алжир",1995,
Знамя партии,документальный,"Тяпкин, Фёдор Александрович",СССР,1961,
Знаки зодиака (фильм),рекламный,Виктор Петров,СССР,1975,
"Злая ночь (фильм, 1914)",драма,Евгений Бауэр,Российская империя,1914,
Зинка (фильм),"киноновелла, экранизация","Светлана Дружинина, Валентин Попов",СССР,1969,
"Зеница ока (фильм, 1976)",Драма,Геннадий Базаров,СССР,1976,
Земля и золото,,"Арман Манарян, Генрих Маркарян",СССР,1984,
"Здравствуй, столица!","Драма, Киностудия «Жанр».(«, Мосфильм",Леонид Марягин,Россия,2003,
Звёзды встречаются в Москве,Документальный,"Василий Катанян, Владимир Бычков",СССР,1959,
"Звёзды (фильм, 2018)",Трагикомедия,Александр Новиков-Янгинов,Россия,2018,
Звёздный путь: Планета Титанов,"приключенческий фильм, научная фантастика",Филип Кауфман,США,1978,
Звёздный путь: Божественная вещь,"приключенческий фильм, научная фантастика",,США,,
"Запрягу я тройку борзых, темнокарих лошадей","бытовая, драма",Яков Протазанов,Российская империя,1916,
"Запорожская сечь (фильм, 1911)","игровой, немой, исторический фильм",Николай Садовский,Российская империя,1911,
"Западня (фильм, 1966)",военный фильм,Леонид Мартынюк,СССР,1966,
Замок Амеронген (фильм),драма,Саския Боддеке (Saskia Boddeke),Нидерланды,2011,
"Зал ожидания (фильм, 1973)",драма,Карен Сперлинг,США,1973,
Загадочный мир,"мистическая, драма",Евгений Бауэр,Российская империя,1916,
Загадка кубачинского браслета,лирическая комедия,Рафаэль Гаспарянц,СССР,1982,
Забарджад,драма,Баходыр Одылов,Узбекистан,2007,
За право первой ночи,драма,Александр Уральский,Российская империя,1916,
Журавль в небе (фильм),мелодрама,"Самсон Самсонов, Аркадий Сиренко",СССР,,
Жизнь испытывает нас,"драма, мелодрама",Шамиль Махмудбеков,Азербайджанская ССР,1971,
Жизнь и удивительные приключения Робинзона Крузо,приключенческий фильм,Станислав Говорухин,СССР,,
"Жизнь — миг, искусство — вечно",драма,Чеслав Сабинский,Российская империя,1916,
"Живой труп (фильм, 1918)",драма,Чеслав Сабинский,Российская республика,1918,
Женщина с душою куртизанки,драма,Александр Гарин,Российская империя,1916,
Женщина издалека,"военный фильм, драма",Тахир Сабиров,СССР,1978,
Женская судьба,драма,Дильмурод Масаидов,Узбекистан,2022,
"Жемчужное ожерелье (фильм, 1915)",Трагическая миниатюра,Евгений Бауэр,Российская империя,1915,
Железный ангел (фильм),"героическая, драма",Владимир Юренев,СССР,1942,
"Есть, капитан!",драма,Александр Иванов,СССР,1930,
Елисейские поля (фильм),мелодрама,Алексей Левченко,Украина,1993,
Ёлки (серия фильмов),,,,,
Его величество полиэтиленовый пакет,"короткометражный фильм, псевдодокументальное кино, комедия",Джереми Коннер,,2010,
"Егерь (фильм, 1959)","новелла, экранизация",Герман Ливанов,СССР,1959,
Дюна: Часть третья,"эпический фильм, научная фантастика",Дени Вильнёв,США,2026,
Дюна (фильм Ходоровски),,Алехандро Ходоровски,Франция,,
Думают ли животные?,научно-популярный фильм,Феликс Соболев,СССР,1970,
Друзья мои,мелодрама,"Александр Пашовкин, Аркадий Кордон, Всеволод Плоткин, Евгений Гончаров",СССР,1973,
Другой мир (серия фильмов),"тёмное фэнтези, боевик, ужасы","Лен Уайзман, (Другой мир, Другой мир: Эволюция), Патрик Татопулос, (Другой мир: Восстание ликанов), Манс Марлинд, Бьёрн Стейн, (Другой мир: Пробуждение), Анна Ферстер, (Другой мир: Войны крови)","США, Великобритания, Канада, Венгрия",,
"Другая жизнь (фильм, 2017)",,,Россия,2017,
Друг Горького — Андреева,Документальный фильм,Семен Аранович,СССР,1966,
Драма у телефона (фильм),драма,Яков Протазанов,Российская империя,1914,
Дочь улицы (фильм),драма,Владимир Гардин,Российская империя,1916,
"Дохунда (фильм, 1956)","экранизация, драма, социальная драма",Борис Кимягаров,СССР,1956,
Дорога в Дженин,Документальный фильм,Пьер Рехов,Франция,2003,
Дорога без возврата (музыкальный фильм),"Музыкальный фильм, Фэнтези, Симфонический рок, фэнтези, мюзикл, рок-опера",Евгений Пронин,"Россия, Россия",2012,
"Дом, который стрелял","художественный, на военную тематику, основанный на реальных событиях",Георгий Газарян,Армения,2009,
Дом под жарким солнцем,психологическая драма,"Зиновий Ройзман, Георгий Бзаров",СССР,1977,
Дом (фильм-спектакль),"фильм-спектакль, драма, экранизация","Лев Додин, Олег Рябоконь",СССР,1982,
Дольше жизни,,"Дарья Виолина, Сергей Павловский",Россия,2013,
Долина волков,"боевик, триллер, криминал",Alican Gebeş,Турция,,
Долгий млечный путь,драма,Амангельды Тажбаев,СССР,1983,
Дождь (фильм-спектакль),мелодрама,Владимир Латышев,СССР,1984,
Добро пожаловать в Энурмино!,документальное кино,Алексей Вахрушев,Россия,2008,
Дневник поруганной женщины,драма,Александр Аркатов,Российская империя,1915,
Дикость (серия фильмов),"детектив, эротика, триллер",,США,"1998, 2005, 2007, 2010",
Диана: Мюзикл,"мюзикл, драма, биография",Кристофер Эшли,США,2021,
Дзига и его братья,неигровой фильм,Евгений Цымбал,Россия,2002,
Джонджоли (фильм),драма,Оксана Бычкова,"Россия, Грузия",2022,
Дети шпионов (серия фильмов),"Шпионская фантастика, комедийный боевик, семейный фильм",Роберт Родригес,США,,
Дети Победы,документальный,Светлана Усенко,Украина,,
Десять зим за одно лето,,Валериу Гажиу,СССР,1969,
День побеждённых,трагикомедия,Валерий Ямбурский,Украина,2009,
День до,"драма, фантастика","Александр Котт, Владимир Котт, Александр Карпиловский, Борис Хлебников",Россия,"2016, 2019",
Дедушка моей мечты (фильм),комедия,Александр Стриженов,Россия,2014,
Девять дней и вся жизнь,"документальный фильм, фильм-биография",Юрий Занин,СССР,1979,
Девушка из легенды,,Георгий Бзаров,СССР,1980,
Двойник Макса Линдера,комедия,Александр Гарин,Российская империя,1914,
Двое в пустыне,,Алты Артыков,СССР,1968,
"Дверь, открытая для тебя",драма,Петерис Крылов,СССР,1984,
"Двенадцатая ночь, или Что угодно",Телевизионный балет,Заал Какабадзе,СССР,1986,
Две сестры (фильм),"мелодрама, экранизация","Нина Кодатова, Надежда Марусалова",СССР,1970,
Две жизни Ясобуро Хачия,"документальный фильм, драма",Алексей Погребной,Россия,2007,
Два ключа (фильм),драма,Борис Михин,СССР,1930,
Два далёких незнакомца,"научная фантастика, драматический фильм","Трэйвон Фри, Мартин Десмонд Роу",США,2020,
Два велосипеда,документальное кино,Екатерина Суворова,"Россия, Казахстан, Германия",2006,
"Грязные танцы (фильм, 2025)",мелодрама,Джонатан Ливайн,,2025,
Грязные танцы (серия фильмов),,,,,
Гриф старого борца (фильм),драма,Евгений Бауэр,Российская империя,1916,
Граф Нулин (фильм-балет),"комедийный, фильм-балет",Владимир Варковицкий,СССР,,
Грандиозный пожар Московского императорского Малого театра и Александровского пассажа 2 мая,документальный фильм,,Российская империя,1914,
"Гранатовый браслет (фильм, 1915)",драма,Николай Маликов,Российская империя,1915,
Грамматика любви,драма,Лев Цуцульковский,СССР,,
Гость из Мекки,драма,Георгий Тасин,СССР,1930,
Господин директор флиртует,комедия,,Российская империя,1914,
Горячие тропы,"красный вестерн, военный, приключения, боевик",Юлдаш Агзамов,СССР,1971,
Голубая роза (фильм),драма,Олег Бийма,СССР,1988,
Голубая кровь (фильм),драма,Валериан Демерт,Российская империя,1917,
Голос Тараса,"драма, исторический фильм",Владимир Фейнберг,СССР,1940,
Голос памяти,научная-фантастика,Виктор Жилко,СССР,1982,
"Голос (фильм, 1986)",комедия,Владимир Бортко,СССР,1986,
Голодные простаки (телеспектакль),Комедия,Рамиз Гасаноглу,Азербайджан,1993,
Год Лошади: Созвездие скорпиона,драма,Наталья Наумова,Россия,2004,
"Глиняный бог (фильм, 1918)",драма,Николай Ларин,Российское государство,1918,
Гламур для дур,комедия,Аскар Узабаев,Казахстан,2016,
Главный калибр (сериал),,Михаил Шевчук,Россия,,
Гимнастёрка и фрак,документальный фильм,Виктор Лисакович,СССР,1968,
Гимн освобождённому труду,агитационный фильм,"Александр Кугель, С. Маслов, Борис Светлов (?)",РСФСР,1920,
Гигант «Газпром» — немцы и их газ с востока,документальный,Хуберт Зайпель,Германия,2009,
Гибель Пушкина (фильм),документальный,Фёдор Тяпкин,СССР,1967,
Гибель империи. Византийский урок,публицистический,Ольга Савостьянова,Россия,,
Герои не опаздывают,документальный,Никита Хубов,СССР,1968,
Генерал звёздных войн,документальный,Александр Мержанов,Россия,,
Гашим,,"Павел Фолян, Степан Манукян",СССР,1929,
Гарри Поттер (серия фильмов),"фэнтези, приключения, семейный, драма","Крис Коламбус, Альфонсо Куарон, Майкл Ньюэлл, Дэвид Йейтс","Великобритания, США",,
Гамбург (фильм),немое кино,,,1926,
Вьетнам (фильм),документальный фильм,Роман Кармен,"СССР, Северный Вьетнам",1955,
Выставка (фильм),драма,Марионас Гедрис,СССР,1987,
Высокая должность,драма,Борис Кимягаров,"СССР, Таджикская ССР",1958,
Выбор царской невесты,"короткометражная, драма",Василий Гончаров,Российская империя,1909,
"Второе счастье, или Кино за 40 часов",Комедия,Катя Райская,Россия,2016,
"Второе дыхание (фильм, 2008)","военный фильм, криминальный фильм, приключенческий фильм",Михаил Туманишвили,Россия,2008,
Вторжение динозавров,"научно-популярный фильм, детский фильм",Джонатан Эйр,США,1988,
Встреча на переправе,драма,Гавриил Егиазаров,СССР,1963,
Встреча в ущелье смерти,,Тахир Сабиров,СССР,1979,
"Встреча (фильм, 1978)",,Ион Мижа,СССР,1978,
Встретимся на стадионе (фильм),,,,,
Всё исправить,"комедия, мелодрама, музыкальный фильм",Антон Калинкин,Россия,2016,
Всё из-за этой шальной Паулины,эксцентрическая комедия,Вия Бейнерте (Рамане),СССР,1979,
Время новых дураков,кинокомедия,Кадзиро Ямамото,Япония,1947,
"Вперёд, гвардейцы!",детектив,Валерий Ахадов,СССР,,
Восемнадцатое мгновение весны,"фарсовая, комедия","Василий Антонов, Александр Толоконников",Россия,2001,
Ворон (франшиза),"приключения, фэнтези, фильм ужасов","Алекс Пройас, Тим Поуп, Бхарат Наллури, Лэнс Манджиа","Великобритания, США",,
"Волчица (фильм, 1967)","драма, экранизация",И. Поляков,СССР,1967,
Волгари,драма,"Григорий Либкен, Александр Аркатов",Российская империя,1914,
Волга (фильм),Документальный фильм,Андрей Алёшин,Россия,2016,
Война. Остаться человеком,киноальманах,"Игорь Васильев, Дмитрий Семёнов, Екатерина Тарасова, Дмитрий Федорович",Белоруссия,2018,
Война полов,"комедия, мелодрама",Кирилл Кузин,Россия,2015,
Война 08.08.08. Искусство предательства,"документальный, интернет-фильм",Алексей Акимов,Россия,2008,
"Возможно, завтра","военный, драма","Дмитрий Дальский, Людмила Снежинаская",Украинская ССР,1931,
"Возмездие (фильм, 1916)",драма,Евгений Бауэр,Российская империя,1916,
Возвращение с фронта,"военная, драма",Николай Гадомский,Россия,2022,
Возвращение нонконформиста,"биография, документальный",Андрей Проскуряков,Россия,2011,
Возвращайся с солнцем,"военный фильм, драма",Хабиб Файзиев,СССР,1969,
"Водопад (фильм, 1973)",мелодрама,Юрий Борецкий,СССР,1974,
Воды поднимаются,,Никита Акопян,СССР,1962,
Во имя Тисы,документальный фильм,Дмитрий Ляшук,Венгрия,2021,
Во сне и наяву,"комедия, фильм-боевик",Магомед Магомедов,Россия,2006,
Во власти греха,драма,"Георгий Азагаров, Яков Протазанов",Российская империя,1916,
"Власть тьмы (фильм, 1909)",драма,Пётр Чардынин,Российская империя,1909,
"Властелин колец (фильм, 1968)",мюзикл,Стэнли Кубрик,,1968,
Властелин колец: Братва и кольцо,"фэнтези, приключения, комедия, пародия",Питер Джексон,"Новая Зеландия, США, Россия",2002,
Властелин колец (кинотрилогия),"эпическое фэнтези, приключения",Питер Джексон,"Новая Зеландия, США",,
Вино любви (фильм),салонная мелодрама,Андрей Андреев,Российская империя,1918,
"Вильям Фосс, похититель миллионов",детектив,Рудольф Майнерт,Германская империя,1916,
Виктор Астафьев. Весёлый солдат,документальный,Андрей Зайцев,Россия,2010,
"Вий (фильм, 1916)","Фантастика, Ужасы",Владислав Старевич,Российская империя,1916,
"Вий (фильм, 1909)","Фантастика, Ужасы",Василий Гончаров,Российская империя,1909,
Взорванный рассвет,"короткометражный, научно-популярный фильм",Феликс Соболев,СССР,1965,
"Вернись в Сорренто (фильм, 2005)",Психологический триллер,Максим Ронкин,Израиль,2005,
Вера Мирцева (фильм),драма,Михаил Мартов,Российская империя,1916,
"Венецианский мавр (фильм-балет, 1960)",фильм-балет,Вахтанг Чабукиани,СССР,1960,
"Ведьма (фильм, 1916)","фантастическая, драма","Александр Пантелеев, Г. Богданов",Российская империя,1916,
Варшавская мелодия,"драма, мелодрама",Рубен Симонов,СССР,1969,
Варежки (фильм),"драма, военный фильм","Павел Арманд, Натан Любошиц",СССР,1942,
Ванька и «Мститель»,"исторический, приключенческий, детский",Аксель Лундин,СССР,1928,
Ванина Ванини (телеспектакль),телеспектакль,"Самойлова, Галина Алексеевна",СССР,1983,
Валентин Парнах: не здесь и не теперь,Документальный фильм,Михаил Басов,Россия,2011,
В скафандре над планетой,документальный,Славинская М.,СССР,1965,
В поисках идиша,Документальное кино,"Юрий Хащеватский, Александр Городницкий","Россия, Белоруссия, Германия",2008,
В омуте Москвы,Драма,Николай Ларин,Россия,1914,
В ожидании волн и частиц (фильм),документальный,Дмитрий Завильгельский,Россия,2015,
В ночь на новолуние,"экранизация, драма","Юсуп Даниялов, Дмитрий Коржихин",СССР,1977,
В объективе — животные,научно-популярный фильм,,СССР,,
В мире должна царить красота,"фантастическая, драма",Евгений Бауэр,Российская империя,1916,
В космосе «Восход»,документальный,"Д. Антонов, Г. Косенко",СССР,1965,
В золотой клетке (фильм),"драма, мелодрама",Чеслав Сабинский,РСФСР,1918,
В буйной слепоте страстей,психологическая любовная драма,Чеслав Сабинский,Российская империя,1915,
Была без радости любовь,драма,Александр Аркатов,Российская империя,1916,
Была война,драма,Олег В. Семенец,Россия,2015,
"Бузулукский бор (фильм, 2018)",документальный фильм,Сергей Сотников,Россия,2018,
Будущий фильм Энга Ли,,Энг Ли,,,
Будем как солнце (фильм),драма,Валериан Демерт,Российская империя,1917,
Братья Кокарс,документальный,Юрис Подниекс,СССР,1978,
Братья Борис и Глеб (фильм),"драма, мелодрама",Евгений Бауэр,Российская империя,1915,
Боярышник (фильм),"драма, экранизация",Мурат Омаров,СССР,1981,
Борьба без оружия,социальная драма,Сацуо Ямамото,Япония,1960,
Борцы за светлое царство III Интернационала,агитфильм,Борис Светлов,РСФСР,1919,
Борец под чёрной маской,"приключения, спорт","Николай Брешко-Брешковский, Владимир Гельгардт",Российская империя,1913,
Боевой киносборник «Наши девушки»,"военный фильм, драма","Абрам Роом, Григорий Козинцев",СССР,1942,
Блуждающие огни (фильм),"драма, мелодрама",Пётр Чардынин,Россия,1917,
"Блеф, или С Новым годом!",документальный,Ольга Синяева,Россия,2013,
Благодать (фильм),документальный фильм,Виталий Манский,"Россия, Финляндия",1995,
Битва титанов (серия фильмов),"боевик, приключения, фэнтези","Десмонд Дэвис, Луи Летерье, Джонатан Либесман",США,,
Битва за Чили,документальный,Патрисио Гусман,"Чили, Франция, Куба, Венесуэла",,
Беспризорный спортсмен,кинокомедия,"Николай Богданов, Николай Бравко, Лев Константиновский",СССР,1926,
Беслан. Память,документальный,Вадим Цаликов,Россия,2014,
Березовский TRIP,"документальная, драма, фильм ужасов, триллер","Дмитрий Пищулин, Дмитрий Охотников",Россия,2006,
Бенефис Савелия Крамарова,музыкальный,Евгений Гинзбург,СССР,1974,
"Белая роза (фильм, 1916)",драма,Пётр Иванович Чардынин,Российская империя,1916,
Белая медведица,драма,Дин Махаматдинов,Россия,2008,
Белая лошадь (фильм),драма,Барас Халзанов,СССР,1966,
"Белая колоннада (фильм, 1915)",драма,Вячеслав Висковский,Российская империя,1915,
Бейбарс (фильм),исторический фильм,Булат Мансуров,СССР,1989,
Безумные годы (серия фильмов),"драма, Кинокомедия, приключения",Зоран Чалич,"Сербия, Королевство СХС",,
Безмолвный свидетель (фильм),немое кино,Джеральд Портер,США,,
"Без вины виноватые (фильм, 1916)",драма,Чеслав Сабинский,Российская империя,1916,
Банда Ольсена,фильм-ограбление,Эрик Баллинг,Дания,1968,
Бай и батрак,,,,,
"Ах, зачем эта ночь так была хороша",драма,Александр Аркатов,Российская империя,1916,
Афганская война (фильм),"военный фильм, документальный фильм","Алексей Крол, Татьяна Крол",Россия,,
Атланты держат небо,документальный  сериал,"Александр Городницкий, Наталья Касперович","Россия, Белоруссия",2010,
Астрал (серия фильмов),фильм ужасов,"Джеймс Ван, Ли Уоннелл, Адам Робител, Патрик Уилсон",США,,
Архитектура блокады,документальный,Максим Якубсон,Россия,2020,
Аромат дыни в Самарканде,"драма, комедия",Али Хамраев,Узбекистан,2021,
Армянский вопрос (фильм),документальный,"Андрей Буровский, Григорий Жгилёв",Россия,2017,
Арман (фильм),Драма,,СССР,1975,
Аня (фильм),"приключения, экранизация","Ольга Преображенская, Иван Правов",СССР,1927,
"Анджело (фильм, 1920)",Драма,Михаил Нароков,РСФСР,1920,
Ангел Русской церкви против отца всех народов,Документальное кино,Валерий Залотуха,Россия,2005,
Анатомия протеста,документальное кино,"Сергей Кисляков, Дмитрий Ларченко, Юрий Устинов",Россия,,
"Анастасия (фильм, 2008)",документальное кино,Виктор Лисакович,Россия,2008,
Альманах сатиры и юмора,"комедия, комедия","Александр Белинский, Е.Ануфриев","СССР, СССР","1980, 1980",
"Алмаз (фильм, 2010)",документальный,Эльнура Осмоналиева,Кыргызстан,,
Алла Пугачёва. Тот самый концерт,киноконцерт,"Филипп Григорьян, Татьяна Гулина",Россия,2019,
Алим — крымский разбойник,драма,Вячеслав Висковский,Российская империя,,
Алёша-доброволец,драма,Б.С.Глаголин,Российская империя,1914,
"Айна (фильм, 1959)","драма, исторический","Алты Карлиев, Владимир Иванов",СССР,1959,
Азор (фильм),драма,Бакич Видяй,Россия,2018,
"Азамат (фильм, 1939)",драма,,СССР,1939,
А защищал её Плевако,драма,Николай Козловский,Российская империя,1916,
1812 (документальный цикл),"документальный, драма",Павел Тупик,Россия,,
13 друзей хунты,документальный,,Россия,2014,
5 причин не влюбиться в казаха,комедийный фильм,Аскар Узабаев,Казахстан,2017,
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
